,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
264,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
265,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,12
266,0,1,2,2,5,5,1,6,2,3,10,3,6,6,15,2,5,12,1
267,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
268,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
269,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
270,1,2,3,0,0,1,2,7,3,5,9,7,9,11,1,6,9,9,2
271,0,0,2,4,4,4,0,4,8,8,3,10,10,13,14,7,16,18,5
272,1,2,3,0,0,1,2,0,6,7,1,1,5,1,9,14,1,1,0
273,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
274,1,2,3,0,4,3,4,8,0,1,2,8,5,14,4,14,1,1,0
275,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
276,0,0,0,1,3,6,3,3,1,4,4,5,4,4,12,13,13,7,17
277,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
278,0,1,1,3,1,2,7,2,4,2,6,2,3,2,11,15,10,2,6
279,1,2,3,4,4,3,4,8,0,1,2,8,11,14,4,14,1,1,0
280,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
281,0,1,1,2,5,5,1,6,2,3,10,6,6,10,6,4,2,5,14
282,0,1,2,2,5,5,1,6,2,3,5,3,13,6,8,11,6,12,1
283,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,7
284,1,2,3,0,0,1,2,0,6,7,1,1,1,1,9,1,4,15,12
285,0,1,2,2,5,5,1,6,2,3,10,3,6,7,15,2,5,8,19
286,0,1,2,2,5,5,1,6,2,6,7,0,2,5,3,8,8,11,18
