,n_cluster2,n_cluster3,n_cluster4,n_cluster5,n_cluster6,n_cluster7,n_cluster8,n_cluster9,n_cluster10,n_cluster11,n_cluster12,n_cluster13,n_cluster14,n_cluster15,n_cluster16,n_cluster17,n_cluster18,n_cluster19,n_cluster20
3178,0,1,3,4,0,5,1,0,6,7,4,7,10,9,8,0,15,2,17
3179,0,1,0,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
3180,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,15,0
3181,1,0,2,2,2,3,2,3,3,2,2,5,7,4,4,15,3,5,0
3182,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,10,4,9
3183,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,15,0
3184,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3185,1,0,2,1,5,0,3,1,4,8,8,11,2,7,5,4,14,8,3
3186,1,0,2,1,5,0,3,1,4,8,5,2,2,8,7,4,14,1,3
3187,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3188,0,1,3,3,4,1,4,2,6,7,4,4,5,1,1,6,13,6,6
3189,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,17,10
3190,1,2,0,2,2,3,2,3,3,1,11,1,11,2,11,11,5,16,7
3191,1,0,2,1,1,6,6,6,0,2,2,5,7,4,4,15,3,17,0
3192,1,0,2,1,1,6,6,6,0,6,1,10,1,0,0,13,12,17,10
3193,1,2,0,2,2,3,2,3,1,3,11,8,3,11,13,3,6,3,2
3194,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,10,4,9
3195,0,2,3,3,4,1,4,2,6,3,6,4,5,1,1,6,13,6,6
3196,0,1,3,4,5,0,5,8,2,0,8,11,9,6,3,5,17,13,1
3197,1,2,0,2,2,3,2,3,1,1,11,1,11,2,11,3,6,16,2
3198,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3199,0,1,3,3,4,1,4,2,6,7,6,4,5,1,1,6,13,6,6
3200,1,2,0,3,4,1,4,2,1,3,11,8,3,11,13,3,6,3,2
3201,0,1,1,0,3,4,7,5,5,5,4,7,0,9,2,0,1,2,18
3202,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,15,3,15,0
3203,1,0,2,2,2,3,2,3,3,2,2,5,7,4,4,15,3,15,0
3204,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,14,16
3205,0,1,3,4,0,5,1,0,9,10,0,9,10,9,8,10,15,4,17
3206,1,0,2,1,5,0,3,1,4,8,5,2,13,8,7,1,0,1,15
3207,1,0,2,1,5,0,3,1,3,2,5,5,13,0,0,1,3,15,14
3208,1,2,0,2,2,3,2,3,3,2,2,5,7,4,4,15,3,5,0
3209,0,1,3,4,0,5,1,0,9,10,0,9,6,5,15,14,10,18,9
3210,0,1,1,0,3,4,7,5,5,5,10,0,0,3,2,2,11,9,11
3211,1,2,0,2,2,3,2,3,3,1,2,1,11,2,11,11,5,5,7
3212,1,0,2,1,5,0,3,1,4,8,5,2,13,0,0,1,0,1,15
3213,1,0,2,1,1,6,6,6,0,6,1,10,1,12,6,9,9,17,10
